,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Juspay Technologies India Pvt Ltd,Actuals,Actuals,Actuals,Actuals,Actuals,Actuals,Actuals,Actuals,Actuals,Actuals,Actuals,Actuals,,,AOP,AOP,AOP,AOP,AOP,AOP,AOP,AOP,AOP,AOP,AOP,AOP,AOP,,,Actuals,Actuals,Actuals,Actuals,Actuals,Actuals,Actuals,Actuals,Actuals,Actuals,Actuals,Actuals,Actuals,,,,,,,,,
,,,,2026-04-01 00:00:00,2026-05-31 00:00:00,2026-06-30 00:00:00,2026-07-31 00:00:00,2026-08-31 00:00:00,2026-09-30 00:00:00,2026-10-31 00:00:00,2026-11-30 00:00:00,2026-12-31 00:00:00,2027-01-31 00:00:00,2027-02-28 00:00:00,2027-03-31 00:00:00,,,2026-04-01 00:00:00,2026-05-31 00:00:00,2026-06-30 00:00:00,2026-07-31 00:00:00,2026-08-31 00:00:00,2026-09-30 00:00:00,2026-10-31 00:00:00,2026-11-30 00:00:00,2026-12-31 00:00:00,2027-01-31 00:00:00,2027-02-28 00:00:00,2027-03-31 00:00:00,FY27,,,2025-04-01 00:00:00,2025-05-31 00:00:00,2025-06-30 00:00:00,2025-07-31 00:00:00,2025-08-31 00:00:00,2025-09-30 00:00:00,2025-10-31 00:00:00,2025-11-30 00:00:00,2025-12-31 00:00:00,2026-01-31 00:00:00,2026-02-28 00:00:00,2026-03-31 00:00:00,FY27,,,,,,,,,
,,,Total Revenue,55.53777061582331,,,,,,,,,,,,,,53.104350876931704,55.93068716442491,61.970261139022476,76.35364343291101,70.55721412941381,158.81447529242726,76.8539384405769,77.55135748303402,89.2512503497985,85.88515783111876,89.40488381943109,96.4769133780219,992.1541333371122,,,48.722467178219844,50.78756784125268,50.46246311349591,53.161744100113765,54.127812713105286,58.675523875727585,53.77724392149244,51.78840356312877,60.36915294523279,60.27110950314665,53.89741416787958,67.44572558140923,660.8866285042045,,,,,,,,,
,,,Recurring Revenue,55.252770615823316,,,,,,,,,,,,,,53.104350876931704,55.93068716442491,61.970261139022476,76.35364343291101,70.55721412941381,158.81447529242726,76.8539384405769,77.55135748303402,89.2512503497985,85.88515783111876,89.40488381943109,96.4769133780219,992.1541333371122,,,46.12246717821984,50.78756784125268,50.46246311349591,53.161744100113765,54.127812713105286,58.675523875727585,53.77724392149244,51.78840356312877,60.36915294523279,60.27110950314665,53.89741416787958,67.44572558140923,660.8866285042045,,,,,,,,,
,,,Onetime Revenue,0.285,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2.6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
,,,India,53.34855275543193,,,,,,,,,,,,,,50.961172894342454,53.211023063917466,56.3988801078593,60.820303342748424,63.27129525198182,68.40855762145779,72.00410671334883,70.50220356905311,77.49672749377498,78.70545073613552,76.56361255479786,86.0718110947756,814.4151444441931,,,48.02791155533679,49.09054186532804,48.28656588934019,52.40627734079775,52.532609953963814,56.283950021399,52.397595718195596,50.4532644209621,55.587729771232794,55.64175301097998,52.16021425887819,58.2016622627355,628.4700760691497,,,,,,,,,
,,,Recurring Revenue,53.063552755431935,,,,,,,,,,,,,,50.961172894342454,53.211023063917466,56.3988801078593,60.820303342748424,63.27129525198182,68.40855762145779,72.00410671334883,70.50220356905311,77.49672749377498,78.70545073613552,76.56361255479786,86.0718110947756,814.4151444441931,,,45.42791155533679,49.09054186532804,48.28656588934019,52.40627734079775,52.532609953963814,56.283950021399,52.397595718195596,50.4532644209621,55.587729771232794,55.64175301097998,52.16021425887819,58.2016622627355,628.4700760691497,,,,,,,,,
,,,Merchant Business,18.564845459620532,,,,,,,,,,,,,,16.158399770929254,16.996256140650832,18.544594566154412,19.39011794767455,20.311492051447065,24.04688126989696,22.66482806035031,23.093895286838954,29.01212076101995,26.19227298700515,24.84839531153677,31.232369339899908,272.4916234934042,,,15.7683193537793,16.87888809082804,17.889874548045984,18.39289965479774,18.408459677963812,19.461035948398997,17.281400943195603,16.7574535879621,21.398290288232797,18.455123713269984,16.99756395651252,22.86159965656931,220.55090941955618,,,,,,,,,
,,,Hypercheckout,15.386200845798532,,,,,,,,,,,,,,13.289737265929253,13.886916874550833,14.091087652054412,15.420326293774556,15.840023425044667,18.222699347705163,17.298784743390115,16.877347292294658,19.298327029344254,19.107244954628854,17.871111882336773,20.516945136427232,201.7205518974808,,,14.3982905598453,15.34230314207004,15.271577129045985,16.254441258797737,15.653450440115812,15.863719107472997,14.652887462101601,13.861193834911099,15.975348657143797,15.017849885999986,13.741419877092518,16.572416851710706,182.60489820630755,,,,,,,,,
,,,Existing,15.38100076357554,,,,,,,,,,,,,,13.289737265929253,13.831863192800833,13.809934070304411,14.822855213274556,15.188452344544666,17.258128267205162,15.902511208390116,15.383073757294659,17.329053494344254,17.038446874628853,15.787313802336774,18.380647056427232,188.02201654748077,,,14.3982905598453,15.34230314207004,15.271577129045985,16.254441258797737,15.653450440115812,15.863719107472997,14.652887462101601,13.861193834911099,15.975348657143797,15.017849885999986,13.741419877092518,16.572416851710706,182.60489820630755,,,,,,,,,
,,,EC/PP,14.711887036341336,,,,,,,,,,,,,,12.719737265929252,13.261863192800833,13.239934070304411,14.252855213274556,14.618452344544666,15.688128267205164,15.332511208390116,14.813073757294658,16.759053494344254,16.468446874628853,15.217313802336774,17.810647056427232,180.18201654748077,,,13.5123199998453,14.31976594309004,14.395626795045985,15.317843308797737,14.708493210115812,13.767364927472997,13.649514142101602,13.420587414911099,15.453686667143797,14.274694707999986,13.199186123092518,15.803211907710708,171.82229514732757,,,,,,,,,
