Product,Merchant,Txns_FY25_Cr,GMV_FY25_Cr,Revenue_FY25_Cr,Txns_FY26_Cr,GMV_FY26_Cr,Revenue_FY26_Cr,Revenue_Var_Pct
UPI Stack,Gpay,0.0000,0.00,8.2947,0.0000,0.00,8.6958,0.0484
UPI TPAP,SCAPIC INNOVATIONS PRIVATE LIMITED,21.2310,6139.70,1.6184,33.9108,14787.48,3.0000,0.8537
UPI TPAP,DREAMPLUG TECHNOLOGIES PRIVATE LIMITED,16.5369,56832.03,2.4139,19.7783,65198.19,2.8616,0.1855
"UPI Stack, UPI PPI",Amazon Pay (India) Private Limited,14.7786,12808.35,2.6760,3.1227,1169.92,2.8381,0.0606
UPI TPAP,NAVI TECHNOLOGIES LIMITED_tpap & bbps,34.9564,19077.90,4.0766,29.8916,16792.84,2.0984,-0.4853
UPI Stack,YES BANK LIMITED,20.8429,10764.41,2.0096,17.1962,12214.68,2.0200,0.0052
UPI Stack,WHATSAPP APPLICATION SERVICES PRIVATE LIMITED,0.0000,0.00,0.7500,6.0339,4564.42,2.0111,1.6815
UPI Stack,AXIS BANK LTD - UPI,1.7647,941.43,1.3805,2.8647,1413.32,1.4677,0.0632
UPI TPAP,Paytm,0.0000,0.00,0.7881,0.0000,0.00,1.1945,0.5157
UPI Stack,KOTAK MAHINDRA BANK LIMITED,0.0000,0.00,0.0000,9.2537,12386.57,1.0772,0.0000
